0 ['47', '0', '5', '24', '22']
605 ['51', '52', '25', '6', '45']
606 ['51', '52', '25', '6', '45']
607 ['51', '52', '25', '6', '45']
618 ['52', '25', '6', '51', '3']
619 ['52', '25', '6', '51', '3']
620 ['52', '6', '51', '25', '54']
621 ['52', '6', '51', '25', '54']
622 ['52', '6', '51', '25', '54']
623 ['52', '6', '51', '25', '54']
624 ['52', '6', '51', '25', '54']
625 ['52', '6', '51', '25', '54']
626 ['52', '6', '51', '25', '54']
627 ['52', '6', '51', '25', '54']
628 ['52', '6', '51', '25', '54']
629 ['52', '6', '51', '25', '54']
630 ['52', '6', '51', '25', '54']
641 ['52', '6', '51', '25', '47']
642 ['52', '6', '51', '25', '47']
643 ['52', '6', '51', '25', '47']
644 ['52', '6', '51', '25', '47']
645 ['52', '6', '51', '25', '47']
646 ['52', '6', '51', '25', '47']
647 ['52', '6', '51', '25', '47']
648 ['52', '6', '51', '25', '47']
649 ['52', '6', '51', '25', '47']
650 ['52', '6', '51', '25', '47']
661 ['52', '51', '25', '6', '59']
662 ['52', '51', '25', '6', '59']
663 ['52', '51', '25', '6', '59']
664 ['52', '51', '25', '6', '59']
665 ['52', '51', '25', '6', '59']
666 ['52', '51', '25', '6', '59']
667 ['52', '51', '25', '6', '59']
668 ['52', '51', '25', '6', '59']
669 ['52', '51', '25', '6', '59']
670 ['52', '51', '25', '6', '59']
681 ['52', '25', '6', '51', '59']
682 ['52', '25', '6', '51', '59']
683 ['52', '25', '6', '51', '59']
684 ['52', '25', '6', '51', '59']
685 ['52', '25', '6', '51', '59']
686 ['52', '25', '6', '51', '59']
687 ['52', '25', '6', '51', '59']
688 ['52', '25', '6', '51', '59']
689 ['52', '25', '6', '51', '59']
690 ['52', '25', '6', '51', '59']
701 ['52', '51', '6', '25', '59']
702 ['52', '51', '6', '25', '59']
703 ['52', '51', '6', '25', '59']
704 ['52', '51', '6', '25', '59']
705 ['52', '51', '6', '25', '59']
706 ['52', '51', '6', '25', '59']
707 ['52', '51', '6', '25', '59']
708 ['52', '51', '6', '25', '59']
709 ['52', '51', '6', '25', '59']
710 ['52', '51', '6', '25', '59']
721 ['51', '6', '25', '52', '42']
722 ['51', '6', '25', '52', '42']
723 ['51', '6', '25', '52', '42']
724 ['51', '6', '25', '52', '42']
725 ['51', '6', '25', '52', '42']
726 ['51', '6', '25', '52', '42']
727 ['51', '6', '25', '52', '42']
728 ['51', '6', '25', '52', '42']
729 ['51', '6', '25', '52', '42']
730 ['51', '6', '25', '52', '42']
741 ['51', '6', '25', '52', '59']
742 ['51', '6', '25', '52', '59']
743 ['51', '6', '25', '52', '59']
744 ['51', '6', '25', '52', '59']
745 ['51', '6', '25', '52', '59']
746 ['51', '6', '25', '52', '59']
747 ['51', '6', '25', '52', '59']
748 ['51', '6', '25', '52', '59']
749 ['51', '6', '25', '52', '59']
750 ['51', '6', '25', '52', '59']
761 ['51', '25', '52', '6', '54']
762 ['51', '25', '52', '6', '54']
763 ['51', '25', '52', '6', '54']
764 ['51', '25', '52', '6', '54']
765 ['51', '25', '52', '6', '54']
766 ['51', '25', '52', '6', '54']
767 ['51', '25', '52', '6', '54']
768 ['51', '25', '52', '6', '54']
769 ['51', '25', '52', '6', '54']
770 ['51', '25', '52', '6', '54']
781 ['25', '52', '6', '51', '5']
782 ['25', '52', '6', '51', '5']
783 ['25', '52', '6', '51', '5']
784 ['25', '52', '6', '51', '5']
785 ['25', '52', '6', '51', '5']
786 ['25', '52', '6', '51', '5']
787 ['25', '52', '6', '51', '5']
788 ['25', '52', '6', '51', '5']
789 ['25', '52', '6', '51', '5']
790 ['25', '52', '6', '51', '5']
801 ['25', '52', '6', '51', '58']
802 ['25', '52', '6', '51', '58']
803 ['25', '52', '6', '51', '58']
804 ['25', '52', '6', '51', '58']
805 ['25', '52', '6', '51', '58']
806 ['25', '52', '6', '51', '58']
807 ['25', '52', '6', '51', '58']
808 ['25', '52', '6', '51', '58']
809 ['25', '52', '6', '51', '58']
810 ['25', '52', '6', '51', '58']
821 ['25', '6', '51', '52', '3']
822 ['25', '6', '51', '52', '3']
823 ['25', '6', '51', '52', '3']
824 ['25', '6', '51', '52', '3']
825 ['25', '6', '51', '52', '3']
826 ['25', '6', '51', '52', '3']
827 ['25', '6', '51', '52', '3']
828 ['25', '6', '51', '52', '3']
829 ['25', '6', '51', '52', '3']
830 ['25', '6', '51', '52', '3']
841 ['25', '51', '52', '6', '30']
842 ['25', '51', '52', '6', '30']
843 ['25', '51', '52', '6', '30']
844 ['25', '51', '52', '6', '30']
845 ['25', '51', '52', '6', '30']
846 ['25', '51', '52', '6', '30']
847 ['25', '51', '52', '6', '30']
848 ['25', '51', '52', '6', '30']
849 ['25', '51', '52', '6', '30']
850 ['25', '51', '52', '6', '30']
861 ['25', '51', '52', '6', '48']
862 ['25', '51', '52', '6', '48']
863 ['25', '51', '52', '6', '48']
864 ['25', '51', '52', '6', '48']
865 ['25', '51', '52', '6', '48']
866 ['25', '51', '52', '6', '48']
867 ['25', '52', '6', '51', '1']
868 ['25', '52', '6', '51', '1']
869 ['25', '52', '6', '51', '1']
870 ['25', '52', '6', '51', '1']
871 ['25', '52', '6', '51', '1']
872 ['25', '52', '6', '51', '1']
873 ['25', '52', '6', '51', '1']
874 ['25', '52', '6', '51', '1']
875 ['25', '52', '6', '51', '1']
876 ['25', '52', '6', '51', '1']
877 ['25', '52', '6', '51', '1']
888 ['25', '52', '6', '51', '44']
889 ['25', '52', '6', '51', '44']
890 ['25', '52', '6', '51', '44']
891 ['25', '52', '6', '51', '44']
892 ['25', '52', '6', '51', '44']
893 ['25', '52', '6', '51', '44']
894 ['25', '52', '6', '51', '54']
895 ['25', '52', '6', '51', '54']
896 ['25', '52', '6', '51', '54']
897 ['25', '52', '6', '51', '54']
898 ['25', '52', '6', '51', '54']
899 ['25', '52', '6', '51', '54']
900 ['25', '52', '6', '51', '54']
901 ['25', '52', '6', '51', '54']
902 ['25', '52', '6', '51', '54']
903 ['25', '52', '6', '51', '54']
904 ['25', '52', '6', '51', '54']
915 ['25', '52', '6', '51', '16']
916 ['25', '52', '6', '51', '16']
917 ['25', '52', '6', '51', '16']
918 ['25', '52', '6', '51', '16']
919 ['25', '52', '6', '51', '16']
920 ['25', '52', '6', '51', '16']
921 ['25', '52', '6', '51', '16']
922 ['25', '52', '6', '51', '16']
923 ['25', '52', '6', '51', '16']
924 ['25', '52', '6', '51', '16']
935 ['25', '52', '51', '6', '59']
936 ['25', '52', '51', '6', '59']
937 ['25', '52', '51', '6', '59']
938 ['25', '52', '51', '6', '59']
939 ['25', '52', '51', '6', '59']
940 ['25', '52', '51', '6', '59']
941 ['25', '52', '51', '6', '59']
942 ['25', '52', '51', '6', '59']
943 ['25', '52', '51', '6', '59']
944 ['25', '52', '51', '6', '59']
955 ['52', '51', '6', '25', '36']
956 ['52', '51', '6', '25', '36']
957 ['52', '51', '6', '25', '36']
958 ['52', '51', '6', '25', '36']
959 ['52', '51', '6', '25', '1']
960 ['52', '51', '6', '25', '1']
961 ['52', '51', '6', '25', '1']
962 ['52', '51', '6', '25', '1']
963 ['52', '51', '6', '25', '1']
964 ['52', '51', '6', '25', '1']
965 ['52', '51', '6', '25', '1']
966 ['52', '51', '6', '25', '1']
967 ['52', '51', '6', '25', '1']
968 ['52', '51', '6', '25', '1']
969 ['52', '51', '6', '25', '1']
980 ['52', '51', '6', '25', '44']
981 ['52', '51', '6', '25', '44']
982 ['52', '51', '6', '25', '44']
983 ['52', '51', '6', '25', '44']
984 ['52', '51', '6', '25', '44']
985 ['52', '51', '6', '25', '44']
986 ['52', '51', '6', '25', '44']
987 ['52', '51', '6', '25', '44']
988 ['52', '51', '6', '25', '44']
989 ['52', '51', '6', '25', '44']
1000 ['52', '51', '25', '6', '59']
1001 ['52', '51', '25', '6', '59']
1002 ['52', '51', '25', '6', '59']
1003 ['52', '51', '25', '6', '59']
1004 ['52', '51', '25', '6', '59']
1005 ['52', '51', '25', '6', '59']
1006 ['52', '51', '25', '6', '59']
1007 ['52', '51', '25', '6', '59']
1008 ['52', '51', '25', '6', '59']
1009 ['52', '51', '25', '6', '59']
1020 ['52', '51', '25', '6', '5']
1021 ['52', '51', '25', '6', '5']
1022 ['52', '51', '25', '6', '5']
1023 ['52', '51', '25', '6', '5']
1024 ['52', '51', '25', '6', '5']
1025 ['52', '51', '25', '6', '5']
1026 ['52', '51', '25', '6', '5']
1027 ['52', '51', '25', '6', '5']
1028 ['52', '51', '25', '6', '5']
1029 ['52', '51', '25', '6', '5']
1040 ['52', '51', '25', '6', '31']
1041 ['52', '51', '25', '6', '31']
1042 ['52', '51', '25', '6', '31']
1043 ['52', '51', '25', '6', '31']
