0 ['6', '34', '46', '49', '57', '5', '36', '42']
599 ['52', '51', '1', '5', '25', '59', '6', '40']
600 ['52', '51', '1', '5', '25', '59', '6', '40']
601 ['52', '51', '1', '5', '25', '59', '6', '40']
602 ['52', '51', '1', '5', '25', '59', '6', '40']
603 ['52', '51', '1', '5', '25', '59', '6', '40']
604 ['52', '51', '1', '5', '25', '59', '6', '40']
615 ['52', '51', '1', '25', '59', '6', '5', '21']
616 ['52', '51', '1', '25', '59', '6', '5', '21']
617 ['52', '51', '1', '25', '59', '6', '5', '21']
618 ['52', '51', '1', '25', '59', '6', '5', '21']
619 ['52', '51', '1', '25', '59', '6', '5', '21']
620 ['52', '51', '1', '25', '59', '6', '5', '21']
621 ['52', '51', '1', '25', '59', '6', '5', '21']
622 ['52', '51', '1', '25', '59', '6', '5', '21']
623 ['52', '51', '1', '25', '59', '6', '5', '21']
624 ['52', '51', '1', '25', '59', '6', '5', '21']
635 ['52', '1', '59', '5', '25', '6', '51', '50']
636 ['52', '1', '59', '5', '25', '6', '51', '50']
637 ['52', '1', '59', '5', '25', '6', '51', '50']
638 ['52', '1', '59', '5', '25', '6', '51', '50']
639 ['52', '1', '59', '5', '25', '6', '51', '50']
640 ['52', '1', '59', '5', '25', '6', '51', '50']
641 ['52', '1', '59', '5', '25', '6', '51', '50']
642 ['52', '1', '59', '5', '25', '6', '51', '50']
643 ['52', '1', '59', '5', '25', '6', '51', '50']
644 ['52', '1', '59', '5', '25', '6', '51', '50']
655 ['52', '1', '5', '25', '51', '59', '6', '43']
656 ['52', '1', '5', '25', '51', '59', '6', '43']
657 ['52', '1', '5', '25', '51', '59', '6', '43']
658 ['52', '1', '5', '25', '51', '59', '6', '43']
659 ['52', '1', '5', '25', '51', '59', '6', '43']
660 ['52', '1', '5', '25', '51', '59', '6', '43']
661 ['52', '1', '5', '25', '51', '59', '6', '43']
662 ['52', '1', '5', '25', '51', '59', '6', '43']
663 ['52', '1', '5', '25', '51', '59', '6', '43']
664 ['52', '1', '5', '25', '51', '59', '6', '43']
675 ['52', '1', '5', '59', '6', '25', '51', '51']
676 ['52', '1', '5', '59', '6', '25', '51', '51']
677 ['52', '1', '5', '59', '6', '25', '51', '51']
