553 ['5', '52', '6', '51', '25', '59', '6']
554 ['5', '52', '6', '51', '25', '59', '6']
555 ['5', '52', '6', '51', '25', '59', '6']
556 ['5', '52', '6', '51', '25', '59', '6']
557 ['5', '52', '6', '51', '25', '59', '6']
558 ['5', '52', '6', '51', '25', '59', '6']
559 ['5', '52', '6', '51', '25', '59', '6']
570 ['5', '52', '51', '25', '6', '59', '14']
571 ['5', '52', '51', '25', '6', '59', '14']
572 ['5', '52', '51', '25', '6', '59', '14']
573 ['5', '52', '51', '25', '6', '59', '14']
574 ['5', '52', '51', '25', '6', '59', '14']
575 ['5', '52', '51', '25', '6', '59', '14']
576 ['5', '52', '51', '25', '6', '59', '14']
577 ['5', '52', '51', '25', '6', '59', '14']
578 ['5', '52', '51', '25', '6', '59', '14']
579 ['5', '52', '51', '25', '6', '59', '14']
590 ['5', '51', '25', '6', '59', '52', '3']
591 ['5', '51', '25', '6', '59', '52', '3']
592 ['5', '51', '25', '6', '59', '52', '3']
593 ['5', '51', '25', '6', '59', '52', '3']
594 ['5', '51', '25', '6', '59', '52', '3']
595 ['5', '51', '25', '6', '59', '52', '3']
596 ['5', '51', '25', '6', '59', '52', '3']
597 ['5', '51', '25', '6', '59', '52', '3']
598 ['5', '51', '25', '6', '59', '52', '3']
599 ['5', '51', '25', '6', '59', '52', '3']
610 ['5', '51', '6', '52', '25', '59', '1']
611 ['5', '51', '6', '52', '25', '59', '1']
612 ['5', '51', '6', '52', '25', '59', '1']
613 ['5', '51', '6', '52', '25', '59', '1']
614 ['5', '51', '6', '52', '25', '59', '1']
615 ['5', '51', '6', '52', '25', '59', '1']
616 ['5', '51', '6', '52', '25', '59', '1']
617 ['5', '51', '6', '52', '25', '59', '1']
618 ['5', '51', '6', '52', '25', '59', '1']
619 ['5', '51', '6', '52', '25', '59', '1']
630 ['51', '6', '52', '25', '59', '5', '12']
631 ['51', '6', '52', '25', '59', '5', '12']
632 ['51', '6', '52', '25', '59', '5', '12']
633 ['51', '6', '52', '25', '59', '5', '12']
634 ['51', '6', '52', '25', '59', '5', '12']
635 ['51', '6', '52', '25', '59', '5', '12']
636 ['51', '6', '52', '25', '59', '5', '12']
637 ['51', '6', '52', '25', '59', '5', '12']
638 ['51', '6', '52', '25', '59', '5', '12']
639 ['51', '6', '52', '25', '59', '5', '12']
650 ['51', '6', '52', '59', '25', '5', '5']
651 ['51', '6', '52', '59', '25', '5', '5']
652 ['51', '6', '52', '59', '25', '5', '5']
653 ['51', '6', '52', '59', '25', '5', '5']
654 ['51', '6', '52', '59', '25', '5', '5']
655 ['51', '6', '52', '59', '25', '5', '5']
656 ['51', '6', '52', '59', '25', '5', '5']
657 ['51', '6', '52', '59', '25', '5', '5']
658 ['51', '6', '52', '59', '25', '5', '5']
659 ['51', '6', '52', '59', '25', '5', '5']
670 ['6', '59', '25', '5', '51', '52', '15']
671 ['6', '59', '25', '5', '51', '52', '15']
672 ['6', '59', '25', '5', '51', '52', '15']
673 ['6', '59', '25', '5', '51', '52', '15']
674 ['6', '59', '25', '5', '51', '52', '15']
675 ['6', '59', '25', '5', '51', '52', '15']
676 ['6', '59', '25', '5', '51', '52', '15']
677 ['6', '59', '25', '5', '51', '52', '15']
678 ['6', '59', '25', '5', '51', '52', '15']
679 ['6', '59', '25', '5', '51', '52', '15']
690 ['6', '59', '25', '5', '51', '52', '38']
691 ['6', '59', '25', '5', '51', '52', '38']
692 ['6', '59', '25', '5', '51', '52', '38']
693 ['6', '59', '25', '5', '51', '52', '38']
694 ['6', '59', '25', '5', '51', '52', '38']
695 ['6', '59', '25', '5', '51', '52', '38']
696 ['6', '59', '25', '5', '51', '52', '38']
697 ['6', '59', '25', '5', '51', '52', '38']
698 ['6', '59', '25', '5', '51', '52', '38']
699 ['6', '59', '25', '5', '51', '52', '38']
710 ['6', '59', '25', '51', '52', '5', '33']
711 ['6', '59', '25', '51', '52', '5', '33']
712 ['6', '59', '25', '51', '52', '5', '33']
713 ['6', '59', '25', '51', '52', '5', '33']
714 ['6', '59', '25', '51', '52', '5', '33']
715 ['6', '59', '25', '51', '52', '5', '33']
716 ['6', '59', '25', '51', '52', '5', '33']
717 ['6', '59', '25', '51', '52', '5', '33']
718 ['6', '59', '25', '51', '52', '5', '33']
719 ['6', '59', '25', '51', '52', '5', '33']
730 ['6', '59', '51', '5', '25', '52', '54']
731 ['6', '59', '51', '5', '25', '52', '54']
732 ['6', '59', '51', '5', '25', '52', '54']
733 ['6', '59', '51', '5', '25', '52', '54']
734 ['6', '59', '51', '5', '25', '52', '54']
735 ['6', '59', '51', '5', '25', '52', '54']
736 ['6', '59', '51', '5', '25', '52', '54']
737 ['6', '59', '51', '5', '25', '52', '54']
738 ['6', '59', '51', '5', '25', '52', '54']
739 ['6', '59', '51', '5', '25', '52', '54']
750 ['6', '51', '5', '52', '25', '59', '21']
751 ['6', '51', '5', '52', '25', '59', '21']
752 ['6', '51', '5', '52', '25', '59', '21']
753 ['6', '51', '5', '52', '25', '59', '21']
754 ['6', '51', '5', '52', '25', '59', '21']
755 ['6', '51', '5', '52', '25', '59', '21']
756 ['6', '51', '5', '52', '25', '59', '21']
757 ['6', '51', '5', '52', '25', '59', '21']
758 ['6', '51', '5', '52', '25', '59', '21']
759 ['6', '51', '5', '52', '25', '59', '21']
770 ['6', '51', '52', '25', '59', '5', '40']
771 ['6', '51', '52', '25', '59', '5', '40']
772 ['6', '51', '52', '25', '59', '5', '40']
773 ['6', '51', '52', '25', '59', '5', '40']
774 ['6', '51', '52', '25', '59', '5', '40']
775 ['6', '51', '52', '25', '59', '5', '40']
776 ['6', '51', '52', '25', '59', '5', '40']
777 ['6', '51', '52', '25', '59', '5', '40']
778 ['6', '51', '52', '25', '59', '5', '40']
779 ['6', '51', '52', '25', '59', '5', '40']
790 ['52', '25', '59', '5', '51', '6', '1']
791 ['52', '25', '59', '5', '51', '6', '1']
792 ['52', '25', '59', '5', '51', '6', '1']
793 ['52', '25', '59', '5', '51', '6', '1']
794 ['52', '25', '59', '5', '51', '6', '1']
795 ['52', '25', '59', '5', '51', '6', '1']
796 ['52', '25', '59', '5', '51', '6', '1']
797 ['52', '25', '59', '5', '51', '6', '1']
798 ['52', '25', '59', '5', '51', '6', '1']
799 ['52', '25', '59', '5', '51', '6', '1']
800 ['52', '25', '59', '5', '51', '6', '1']
811 ['52', '25', '59', '51', '6', '1', '9']
812 ['52', '25', '59', '51', '6', '1', '9']
813 ['52', '25', '59', '51', '6', '1', '9']
814 ['52', '25', '59', '51', '6', '1', '9']
815 ['52', '25', '59', '51', '6', '1', '9']
816 ['52', '25', '59', '51', '6', '1', '9']
817 ['52', '25', '59', '51', '6', '1', '9']
818 ['52', '25', '59', '51', '6', '1', '9']
819 ['52', '25', '59', '51', '6', '1', '9']
820 ['52', '25', '59', '51', '6', '1', '9']
831 ['25', '59', '6', '1', '52', '51', '21']
832 ['25', '59', '6', '1', '52', '51', '21']
833 ['25', '59', '6', '1', '52', '51', '21']
834 ['25', '59', '6', '1', '52', '51', '21']
835 ['25', '59', '6', '1', '52', '51', '21']
836 ['25', '59', '6', '1', '52', '51', '21']
837 ['25', '59', '6', '1', '52', '51', '21']
838 ['25', '59', '6', '1', '52', '51', '21']
839 ['25', '59', '52', '51', '1', '6', '5']
840 ['25', '59', '52', '51', '1', '6', '5']
841 ['25', '59', '52', '51', '1', '6', '5']
842 ['25', '59', '52', '51', '1', '6', '5']
843 ['25', '59', '52', '51', '1', '6', '5']
844 ['25', '59', '52', '51', '1', '6', '5']
845 ['25', '59', '52', '51', '1', '6', '5']
846 ['25', '59', '52', '51', '1', '6', '5']
847 ['25', '59', '52', '51', '1', '6', '5']
848 ['25', '59', '52', '51', '1', '6', '5']
849 ['25', '59', '52', '51', '1', '6', '5']
860 ['25', '59', '52', '51', '6', '5', '42']
861 ['25', '59', '52', '51', '6', '5', '42']
862 ['25', '59', '52', '51', '6', '5', '42']
863 ['25', '59', '52', '51', '6', '5', '42']
864 ['25', '59', '52', '51', '6', '5', '42']
865 ['25', '59', '52', '51', '6', '5', '42']
866 ['25', '59', '52', '51', '6', '5', '42']
867 ['25', '59', '52', '51', '6', '5', '42']
868 ['25', '59', '52', '51', '6', '5', '42']
869 ['25', '59', '52', '51', '6', '5', '42']
880 ['25', '59', '52', '51', '6', '5', '25']
881 ['25', '59', '52', '51', '6', '5', '25']
882 ['25', '59', '52', '51', '6', '5', '25']
883 ['25', '59', '52', '51', '6', '5', '25']
884 ['25', '59', '52', '51', '6', '5', '25']
885 ['25', '59', '52', '51', '6', '5', '25']
886 ['25', '59', '52', '51', '6', '5', '25']
887 ['25', '59', '52', '51', '6', '5', '25']
888 ['25', '59', '52', '51', '6', '5', '25']
889 ['25', '59', '52', '51', '6', '5', '25']
900 ['51', '6', '5', '25', '52', '59', '29']
901 ['51', '6', '5', '25', '52', '59', '29']
902 ['51', '6', '5', '25', '52', '59', '29']
903 ['51', '6', '5', '25', '52', '59', '29']
904 ['51', '6', '5', '25', '52', '59', '29']
905 ['51', '6', '5', '25', '52', '59', '29']
906 ['51', '6', '5', '25', '52', '59', '29']
907 ['51', '6', '5', '25', '52', '59', '29']
908 ['51', '6', '5', '25', '52', '59', '29']
909 ['51', '6', '5', '25', '52', '59', '29']
920 ['51', '5', '25', '59', '52', '6', '4']
921 ['51', '5', '25', '59', '52', '6', '4']
922 ['51', '5', '25', '59', '52', '6', '4']
923 ['51', '5', '25', '59', '52', '6', '4']
924 ['51', '5', '25', '59', '52', '6', '4']
925 ['51', '5', '25', '59', '52', '6', '4']
926 ['51', '5', '25', '59', '52', '6', '4']
927 ['51', '5', '25', '59', '52', '6', '4']
928 ['51', '5', '25', '59', '52', '6', '4']
929 ['51', '5', '25', '59', '52', '6', '4']
940 ['51', '5', '25', '59', '6', '52', '20']
941 ['51', '5', '25', '59', '6', '52', '20']
942 ['51', '5', '25', '59', '6', '52', '20']
943 ['51', '5', '25', '59', '6', '52', '20']
944 ['51', '5', '25', '59', '6', '52', '20']
945 ['51', '5', '25', '59', '6', '52', '20']
946 ['51', '5', '25', '59', '6', '52', '20']
947 ['51', '5', '25', '59', '6', '52', '20']
948 ['51', '5', '25', '59', '6', '52', '20']
949 ['51', '5', '25', '59', '6', '52', '20']
960 ['51', '5', '25', '59', '6', '52', '26']
961 ['51', '5', '25', '59', '6', '52', '26']
962 ['51', '5', '25', '59', '6', '52', '26']
963 ['51', '5', '25', '59', '6', '52', '26']
964 ['51', '5', '25', '59', '6', '52', '26']
965 ['51', '5', '25', '59', '6', '52', '26']
966 ['51', '5', '25', '59', '6', '52', '26']
967 ['51', '5', '25', '59', '6', '52', '26']
968 ['51', '5', '25', '59', '6', '52', '26']
969 ['51', '5', '25', '59', '6', '52', '26']
980 ['51', '25', '6', '52', '5', '59', '24']
981 ['51', '25', '6', '52', '5', '59', '24']
982 ['51', '25', '6', '52', '5', '59', '24']
983 ['51', '25', '6', '52', '5', '59', '24']
984 ['51', '25', '6', '52', '5', '59', '24']
985 ['51', '25', '6', '52', '5', '59', '24']
986 ['51', '25', '6', '52', '5', '59', '24']
987 ['51', '25', '6', '52', '5', '59', '24']
988 ['51', '25', '6', '52', '5', '59', '24']
989 ['51', '25', '6', '52', '5', '59', '24']
1000 ['51', '6', '52', '5', '59', '25', '37']
1001 ['51', '6', '52', '5', '59', '25', '37']
1002 ['51', '6', '52', '5', '59', '25', '37']
1003 ['51', '6', '52', '5', '59', '25', '37']
1004 ['51', '6', '52', '5', '59', '25', '37']
1005 ['51', '6', '52', '5', '59', '25', '37']
1006 ['51', '6', '52', '5', '59', '25', '37']
1007 ['51', '6', '52', '5', '59', '25', '37']
1008 ['51', '6', '52', '5', '59', '25', '37']
1009 ['51', '6', '52', '5', '59', '25', '37']
1020 ['6', '5', '59', '52', '51', '25', '1']
1021 ['6', '5', '59', '52', '51', '25', '1']
1022 ['6', '5', '59', '52', '51', '25', '1']
1023 ['6', '5', '59', '52', '51', '25', '1']
1024 ['6', '5', '59', '52', '51', '25', '1']
1025 ['6', '5', '59', '52', '51', '25', '1']
1026 ['6', '5', '59', '52', '51', '25', '1']
1027 ['6', '5', '59', '52', '51', '25', '1']
1028 ['6', '5', '59', '52', '51', '25', '1']
1029 ['6', '5', '59', '52', '51', '25', '1']
1040 ['59', '52', '51', '25', '1', '6', '5']
1041 ['59', '52', '51', '25', '1', '6', '5']
