910 ['25', '51', '52', '6', '54', '5']
911 ['25', '51', '52', '6', '54', '5']
912 ['25', '51', '52', '6', '54', '5']
923 ['6', '54', '52', '25', '51', '50']
924 ['6', '54', '52', '25', '51', '50']
925 ['6', '54', '52', '25', '51', '50']
926 ['6', '54', '52', '25', '51', '50']
927 ['6', '54', '52', '25', '51', '50']
928 ['6', '54', '52', '25', '51', '50']
929 ['6', '54', '52', '25', '51', '50']
930 ['6', '54', '52', '25', '51', '50']
931 ['6', '54', '52', '25', '51', '50']
932 ['6', '54', '52', '25', '51', '50']
943 ['54', '52', '25', '51', '6', '9']
944 ['54', '52', '25', '51', '6', '9']
945 ['54', '52', '25', '51', '6', '9']
946 ['54', '52', '25', '51', '6', '9']
947 ['54', '52', '25', '51', '6', '9']
948 ['54', '52', '25', '51', '6', '9']
949 ['54', '52', '25', '51', '6', '9']
950 ['54', '52', '25', '51', '6', '9']
951 ['54', '52', '25', '51', '6', '9']
952 ['54', '52', '25', '51', '6', '9']
963 ['54', '52', '25', '51', '6', '11']
964 ['54', '52', '25', '51', '6', '11']
965 ['54', '52', '25', '51', '6', '11']
966 ['54', '52', '25', '51', '6', '11']
967 ['54', '52', '25', '51', '6', '11']
968 ['54', '52', '25', '51', '6', '11']
969 ['54', '52', '25', '51', '6', '11']
970 ['54', '52', '25', '51', '6', '11']
971 ['54', '52', '25', '51', '6', '11']
972 ['54', '52', '25', '51', '6', '11']
983 ['54', '25', '6', '51', '52', '59']
984 ['54', '25', '6', '51', '52', '59']
985 ['54', '25', '6', '51', '52', '59']
986 ['54', '25', '6', '51', '52', '59']
987 ['54', '25', '6', '51', '52', '59']
988 ['54', '25', '6', '51', '52', '59']
989 ['54', '25', '6', '51', '52', '59']
990 ['54', '25', '6', '51', '52', '59']
991 ['54', '25', '6', '51', '52', '59']
992 ['54', '25', '6', '51', '52', '59']
1003 ['25', '6', '51', '52', '59', '54']
1004 ['25', '6', '51', '52', '59', '54']
1005 ['25', '6', '51', '52', '59', '54']
1006 ['25', '6', '51', '52', '59', '54']
1007 ['25', '6', '51', '52', '59', '54']
1008 ['25', '6', '51', '52', '59', '54']
1009 ['25', '6', '51', '52', '59', '54']
1010 ['25', '6', '51', '52', '59', '54']
1011 ['25', '6', '51', '52', '59', '54']
1012 ['25', '6', '51', '52', '59', '54']
1023 ['25', '51', '59', '6', '52', '54']
1024 ['25', '51', '59', '6', '52', '54']
1025 ['25', '51', '59', '6', '52', '54']
1026 ['25', '51', '59', '6', '52', '54']
1027 ['25', '51', '59', '6', '52', '54']
1028 ['25', '51', '59', '6', '52', '54']
1029 ['25', '51', '59', '6', '52', '54']
1030 ['25', '51', '59', '6', '52', '54']
1031 ['25', '51', '59', '6', '52', '54']
1032 ['25', '51', '59', '6', '52', '54']
1043 ['25', '51', '52', '54', '6', '29']
1044 ['25', '51', '52', '54', '6', '29']
1045 ['25', '51', '52', '54', '6', '29']
1046 ['25', '51', '52', '54', '6', '29']
1047 ['25', '51', '52', '54', '6', '29']
1048 ['25', '51', '52', '54', '6', '29']
1049 ['25', '51', '52', '54', '6', '29']
1050 ['25', '51', '52', '54', '6', '29']
1051 ['25', '51', '52', '54', '6', '29']
1052 ['25', '51', '52', '54', '6', '29']
1063 ['52', '6', '25', '54', '51', '49']
1064 ['52', '6', '25', '54', '51', '49']
1065 ['52', '6', '25', '54', '51', '49']
1066 ['52', '6', '25', '54', '51', '49']
1067 ['52', '6', '25', '54', '51', '49']
1068 ['52', '6', '25', '54', '51', '49']
1069 ['52', '6', '25', '54', '51', '49']
1070 ['52', '6', '25', '54', '51', '49']
1071 ['52', '6', '25', '54', '51', '49']
1072 ['52', '6', '25', '54', '51', '49']
1083 ['25', '54', '51', '6', '52', '60']
1084 ['25', '54', '51', '6', '52', '60']
1085 ['25', '54', '51', '6', '52', '60']
1086 ['25', '54', '51', '6', '52', '60']
1087 ['25', '54', '51', '6', '52', '60']
1088 ['25', '54', '51', '6', '52', '60']
1089 ['25', '54', '51', '6', '52', '60']
1090 ['25', '54', '51', '6', '52', '60']
1091 ['25', '54', '51', '6', '52', '60']
1092 ['25', '54', '51', '6', '52', '60']
1103 ['25', '51', '52', '6', '54', '24']
1104 ['25', '51', '52', '6', '54', '24']
1105 ['25', '51', '52', '6', '54', '24']
1106 ['25', '51', '52', '6', '54', '24']
1107 ['25', '51', '52', '6', '54', '24']
1108 ['25', '51', '52', '6', '54', '24']
1109 ['25', '51', '52', '6', '54', '24']
1110 ['25', '51', '52', '6', '54', '24']
1111 ['25', '51', '52', '6', '54', '24']
1112 ['25', '51', '52', '6', '54', '24']
1123 ['54', '25', '51', '6', '52', '1']
1124 ['54', '25', '51', '6', '52', '1']
1125 ['54', '25', '51', '6', '52', '1']
1126 ['54', '25', '51', '6', '52', '1']
1127 ['54', '25', '51', '6', '52', '1']
1128 ['54', '25', '51', '6', '52', '1']
1129 ['54', '25', '51', '6', '52', '1']
1130 ['54', '25', '51', '6', '52', '1']
1131 ['54', '25', '51', '6', '52', '1']
1132 ['54', '25', '51', '6', '52', '1']
1143 ['51', '6', '52', '1', '25', '54']
1144 ['51', '6', '52', '1', '25', '54']
1145 ['51', '6', '52', '1', '25', '54']
1146 ['51', '6', '52', '1', '25', '54']
1147 ['51', '6', '52', '1', '25', '54']
1148 ['51', '6', '52', '1', '25', '54']
1149 ['51', '6', '52', '1', '25', '54']
1150 ['51', '6', '52', '1', '25', '54']
1151 ['51', '6', '52', '1', '25', '54']
1152 ['51', '6', '52', '1', '25', '54']
1153 ['51', '6', '52', '1', '25', '54']
1164 ['6', '52', '25', '51', '1', '36']
1165 ['6', '52', '25', '51', '1', '59']
1166 ['6', '52', '25', '51', '1', '59']
1167 ['6', '52', '25', '51', '1', '59']
1168 ['6', '52', '25', '51', '1', '59']
1169 ['6', '52', '25', '51', '1', '59']
1170 ['6', '52', '25', '51', '1', '59']
1171 ['6', '52', '25', '51', '1', '59']
1172 ['6', '52', '25', '51', '1', '59']
1173 ['6', '52', '25', '51', '1', '59']
1174 ['6', '52', '25', '51', '1', '59']
1175 ['6', '52', '25', '51', '1', '59']
1186 ['6', '52', '25', '51', '59', '59']
1187 ['6', '52', '25', '51', '59', '59']
1188 ['6', '52', '25', '51', '59', '59']
1189 ['6', '52', '25', '51', '59', '59']
1190 ['6', '52', '25', '51', '59', '59']
1191 ['6', '52', '25', '51', '59', '5']
1192 ['6', '52', '25', '51', '59', '5']
1193 ['6', '52', '25', '51', '59', '5']
