1253 ['51', '52', '25', '11']
1254 ['51', '52', '25', '11']
1255 ['52', '25', '51', '6']
1256 ['52', '25', '51', '6']
1257 ['52', '25', '51', '6']
1258 ['52', '25', '51', '6']
1259 ['52', '25', '51', '6']
1260 ['52', '25', '51', '6']
1261 ['52', '25', '51', '6']
1262 ['52', '25', '51', '6']
1263 ['52', '25', '51', '6']
1264 ['52', '25', '51', '6']
1265 ['52', '25', '51', '6']
1276 ['51', '6', '52', '44']
1277 ['51', '6', '52', '44']
1278 ['51', '6', '52', '44']
1279 ['51', '6', '52', '44']
1280 ['51', '6', '52', '44']
1281 ['51', '6', '52', '44']
1282 ['51', '6', '52', '44']
1283 ['51', '6', '52', '44']
1284 ['51', '6', '52', '44']
1285 ['51', '6', '52', '44']
1296 ['51', '6', '52', '25']
1297 ['51', '6', '52', '25']
1298 ['51', '6', '52', '25']
1299 ['51', '6', '52', '25']
1300 ['51', '6', '52', '25']
1301 ['51', '6', '52', '25']
1302 ['51', '6', '52', '25']
1303 ['51', '6', '52', '25']
1304 ['51', '6', '52', '25']
1305 ['51', '6', '52', '25']
1316 ['51', '52', '25', '1']
1317 ['51', '52', '25', '1']
1318 ['51', '52', '25', '1']
1319 ['51', '52', '25', '1']
1320 ['51', '52', '25', '1']
1321 ['51', '52', '25', '1']
1322 ['51', '52', '25', '1']
1323 ['51', '52', '25', '1']
1324 ['51', '52', '25', '1']
1325 ['51', '52', '25', '1']
1336 ['51', '52', '25', '6']
1337 ['51', '52', '25', '6']
1338 ['51', '52', '25', '6']
1339 ['51', '52', '25', '6']
1340 ['51', '52', '25', '6']
1341 ['51', '52', '25', '6']
1342 ['51', '52', '25', '6']
1343 ['51', '52', '25', '6']
1344 ['51', '52', '25', '6']
1345 ['51', '52', '25', '6']
1356 ['6', '52', '51', '34']
1357 ['6', '52', '51', '34']
1358 ['6', '52', '51', '34']
1359 ['6', '52', '51', '34']
1360 ['6', '52', '51', '34']
1361 ['6', '52', '51', '34']
1362 ['6', '52', '51', '34']
1363 ['6', '52', '51', '34']
1364 ['6', '52', '51', '34']
1365 ['6', '52', '51', '34']
1376 ['6', '52', '51', '55']
1377 ['6', '52', '51', '55']
1378 ['6', '52', '51', '55']
1379 ['6', '52', '51', '55']
