1761 ['23', '31', '24']
1762 ['23', '31', '24']
1763 ['23', '31', '24']
1764 ['23', '31', '24']
1765 ['23', '31', '24']
1766 ['23', '31', '24']
1767 ['23', '31', '24']
1768 ['23', '31', '24']
1769 ['23', '31', '24']
1780 ['18', '51', '52']
1781 ['18', '51', '52']
1782 ['18', '51', '52']
1783 ['18', '51', '52']
1784 ['18', '51', '52']
1785 ['18', '51', '52']
1786 ['18', '51', '52']
1787 ['18', '51', '52']
1788 ['18', '51', '52']
1789 ['18', '51', '52']
1800 ['51', '52', '1']
1801 ['51', '52', '1']
1802 ['51', '52', '1']
1803 ['51', '52', '1']
1804 ['51', '52', '1']
1805 ['51', '52', '1']
1806 ['51', '52', '1']
1807 ['51', '52', '1']
1808 ['51', '52', '1']
1809 ['51', '52', '1']
1820 ['51', '52', '5']
1821 ['51', '52', '5']
1822 ['51', '52', '5']
1823 ['51', '52', '5']
1824 ['51', '52', '5']
1825 ['51', '52', '5']
1826 ['51', '52', '5']
1827 ['51', '52', '5']
1828 ['51', '52', '5']
1829 ['51', '52', '5']
1840 ['52', '51', '5']
1841 ['52', '51', '5']
1842 ['52', '51', '5']
1843 ['52', '51', '5']
1844 ['52', '51', '5']
1845 ['52', '51', '5']
1846 ['52', '51', '5']
1847 ['52', '51', '5']
1848 ['52', '51', '5']
1849 ['52', '51', '5']
1860 ['52', '51', '40']
1861 ['52', '51', '40']
1862 ['52', '51', '40']
1863 ['52', '51', '40']
1864 ['52', '51', '40']
1865 ['52', '51', '40']
1866 ['52', '51', '40']
1867 ['52', '51', '40']
1868 ['52', '51', '40']
1869 ['52', '51', '40']
1880 ['52', '51', '4']
1881 ['52', '51', '4']
1882 ['52', '51', '4']
1883 ['52', '51', '4']
1884 ['52', '51', '4']
1885 ['52', '51', '4']
1886 ['52', '51', '4']
1887 ['52', '51', '4']
1888 ['52', '51', '4']
1889 ['52', '51', '4']
1900 ['52', '51', '19']
1901 ['52', '51', '6']
1902 ['52', '51', '6']
1903 ['52', '51', '6']
1904 ['52', '51', '6']
1905 ['52', '51', '6']
1906 ['52', '51', '6']
1907 ['52', '51', '6']
1908 ['52', '51', '6']
1909 ['52', '51', '6']
1910 ['52', '51', '6']
1911 ['52', '51', '6']
1922 ['52', '51', '6']
1923 ['52', '51', '6']
1924 ['52', '51', '6']
1925 ['52', '51', '6']
1926 ['52', '51', '6']
1927 ['52', '51', '6']
1928 ['52', '51', '6']
1929 ['52', '51', '6']
1930 ['52', '51', '6']
1931 ['52', '51', '6']
1942 ['51', '52', '6']
1943 ['51', '52', '6']
1944 ['51', '52', '6']
1945 ['51', '52', '6']
1946 ['51', '52', '6']
1947 ['51', '52', '6']
